method,run_id,iteration,residual
HiSD,comparison_HiSD_seed1_repeat1,1970,0.002851117044722588
HiSD,comparison_HiSD_seed1_repeat1,1980,0.0027634008298326298
HiSD,comparison_HiSD_seed1_repeat1,1990,0.002681744827218079
HiSD,comparison_HiSD_seed1_repeat1,2000,0.0026058043298837126
HiSD,comparison_HiSD_seed1_repeat1,2010,0.0025352482019379233
HiSD,comparison_HiSD_seed1_repeat1,2020,0.0024697583880689653
HiSD,comparison_HiSD_seed1_repeat1,2030,0.0024090295857070133
HiSD,comparison_HiSD_seed1_repeat1,2040,0.002352768862697209
HiSD,comparison_HiSD_seed1_repeat1,2050,0.0023006954744806494
HiSD,comparison_HiSD_seed1_repeat1,2060,0.0022525406985857864
HiSD,comparison_HiSD_seed1_repeat1,2070,0.002208047684622149
HiSD,comparison_HiSD_seed1_repeat1,2080,0.0021669713787618805
HiSD,comparison_HiSD_seed1_repeat1,2090,0.0021290783735753403
HiSD,comparison_HiSD_seed1_repeat1,2100,0.0020941468630905997
HiSD,comparison_HiSD_seed1_repeat1,2110,0.002061966444381494
HiSD,comparison_HiSD_seed1_repeat1,2120,0.0020323380278211923
HiSD,comparison_HiSD_seed1_repeat1,2130,0.0020050736506967443
HiSD,comparison_HiSD_seed1_repeat1,2140,0.0019799962247868006
HiSD,comparison_HiSD_seed1_repeat1,2150,0.0019569393213358433
HiSD,comparison_HiSD_seed1_repeat1,2160,0.0019357468532185727
HiSD,comparison_HiSD_seed1_repeat1,2170,0.0019162727893171849
HiSD,comparison_HiSD_seed1_repeat1,2180,0.0018983807655524542
HiSD,comparison_HiSD_seed1_repeat1,2190,0.0018819437357813701
HiSD,comparison_HiSD_seed1_repeat1,2200,0.0018668435356336197
HiSD,comparison_HiSD_seed1_repeat1,2210,0.0018529704887743667
HiSD,comparison_HiSD_seed1_repeat1,2220,0.0018402229800130252
HiSD,comparison_HiSD_seed1_repeat1,2230,0.0018285070157600942
HiSD,comparison_HiSD_seed1_repeat1,2240,0.0018177357705440717
HiSD,comparison_HiSD_seed1_repeat1,2250,0.0018078291954460467
HiSD,comparison_HiSD_seed1_repeat1,2260,0.0017987135410071958
HiSD,comparison_HiSD_seed1_repeat1,2270,0.0017903209902689976
HiSD,comparison_HiSD_seed1_repeat1,2280,0.0017825892151574045
HiSD,comparison_HiSD_seed1_repeat1,2290,0.001775461020195865
HiSD,comparison_HiSD_seed1_repeat1,2300,0.001768883962994003
HiSD,comparison_HiSD_seed1_repeat1,2310,0.0017628099927786403
HiSD,comparison_HiSD_seed1_repeat1,2320,0.0017571951186374532
HiSD,comparison_HiSD_seed1_repeat1,2330,0.0017519991064985278
HiSD,comparison_HiSD_seed1_repeat1,2340,0.001747185171931474
HiSD,comparison_HiSD_seed1_repeat1,2350,0.0017427197033338334
HiSD,comparison_HiSD_seed1_repeat1,2360,0.0017385720065628283
HiSD,comparison_HiSD_seed1_repeat1,2370,0.0017347140620363232
HiSD,comparison_HiSD_seed1_repeat1,2380,0.0017311203041655361
HiSD,comparison_HiSD_seed1_repeat1,2390,0.001727767413618284
HiSD,comparison_HiSD_seed1_repeat1,2400,0.0017246341251380105
HiSD,comparison_HiSD_seed1_repeat1,2410,0.0017217010524090738
HiSD,comparison_HiSD_seed1_repeat1,2420,0.0017189505220643042
HiSD,comparison_HiSD_seed1_repeat1,2430,0.0017163664334935943
HiSD,comparison_HiSD_seed1_repeat1,2440,0.001713934108230954
HiSD,comparison_HiSD_seed1_repeat1,2450,0.0017116401779674467
HiSD,comparison_HiSD_seed1_repeat1,2460,0.0017094724647882446
HiSD,comparison_HiSD_seed1_repeat1,2470,0.0017074198707174438
HiSD,comparison_HiSD_seed1_repeat1,2480,0.0017054722873864631
HiSD,comparison_HiSD_seed1_repeat1,2490,0.001703620506508841
HiSD,comparison_HiSD_seed1_repeat1,2500,0.0017018561392792711
HiSD,comparison_HiSD_seed1_repeat1,2510,0.0017001715432540994
HiSD,comparison_HiSD_seed1_repeat1,2520,0.0016985597579647666
HiSD,comparison_HiSD_seed1_repeat1,2530,0.0016970144399851873
HiSD,comparison_HiSD_seed1_repeat1,2540,0.0016955298093884017
HiSD,comparison_HiSD_seed1_repeat1,2550,0.0016941006008215052
HiSD,comparison_HiSD_seed1_repeat1,2560,0.0016927220132733202
HiSD,comparison_HiSD_seed1_repeat1,2570,0.001691389673900187
HiSD,comparison_HiSD_seed1_repeat1,2580,0.0016900995956014371
HiSD,comparison_HiSD_seed1_repeat1,2590,0.0016888481437711369
HiSD,comparison_HiSD_seed1_repeat1,2600,0.0016876320029464015
HiSD,comparison_HiSD_seed1_repeat1,2610,0.0016864481515414813
HiSD,comparison_HiSD_seed1_repeat1,2620,0.001685293834005525
HiSD,comparison_HiSD_seed1_repeat1,2630,0.0016841665376662136
HiSD,comparison_HiSD_seed1_repeat1,2640,0.0016830639685263668
HiSD,comparison_HiSD_seed1_repeat1,2650,0.0016819840340776735
HiSD,comparison_HiSD_seed1_repeat1,2660,0.0016809248251649735
HiSD,comparison_HiSD_seed1_repeat1,2670,0.0016798846004945688
HiSD,comparison_HiSD_seed1_repeat1,2680,0.0016788617689823349
HiSD,comparison_HiSD_seed1_repeat1,2690,0.0016778548793953008
HiSD,comparison_HiSD_seed1_repeat1,2700,0.001676862605381667
HiSD,comparison_HiSD_seed1_repeat1,2710,0.001675883737064249
HiSD,comparison_HiSD_seed1_repeat1,2720,0.001674917167915728
HiSD,comparison_HiSD_seed1_repeat1,2730,0.0016739618882381947
HiSD,comparison_HiSD_seed1_repeat1,2740,0.0016730169750585023
HiSD,comparison_HiSD_seed1_repeat1,2750,0.0016720815849973392
HiSD,comparison_HiSD_seed1_repeat1,2760,0.001671154947480028
HiSD,comparison_HiSD_seed1_repeat1,2770,0.001670236357873552
HiSD,comparison_HiSD_seed1_repeat1,2780,0.0016693251717805188
HiSD,comparison_HiSD_seed1_repeat1,2790,0.001668420801199708
HiSD,comparison_HiSD_seed1_repeat1,2800,0.0016675227067919829
HiSD,comparison_HiSD_seed1_repeat1,2810,0.001666630396004753
HiSD,comparison_HiSD_seed1_repeat1,2820,0.0016657434187651607
HiSD,comparison_HiSD_seed1_repeat1,2830,0.0016648613625987831
HiSD,comparison_HiSD_seed1_repeat1,2840,0.0016639838503304822
HiSD,comparison_HiSD_seed1_repeat1,2850,0.0016631105365593815
HiSD,comparison_HiSD_seed1_repeat1,2860,0.0016622411053293315
HiSD,comparison_HiSD_seed1_repeat1,2870,0.0016613752674863363
