method,label,status,converged,iterations,final_residual,final_index,quantity,repetition_1,repetition_2,repetition_3,median,min,max
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_total,0.17970633300137706,0.18176987493643537,0.1790352500102017,0.17970633300137706,0.1790352500102017,0.18176987493643537
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_setup_update,0.003170583979226649,0.002744708996033296,0.002894582983572036,0.002894582983572036,0.002744708996033296,0.003170583979226649
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_apply_solve,0.004599614534527063,0.0048617428401485085,0.004508206126047298,0.004599614534527063,0.004508206126047298,0.0048617428401485085
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_eig,0.16724854600033723,0.1697813760547433,0.16663562107714824,0.16724854600033723,0.16663562107714824,0.1697813760547433
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_cert,0.10636204198817722,0.10589775000698864,0.1102139170106966,0.10636204198817722,0.10589775000698864,0.1102139170106966
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_shared_initial,0.10702166601549834,0.1102429999737069,0.10496283299289644,0.10702166601549834,0.10496283299289644,0.1102429999737069
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_H0_build,0.10381991698523052,0.10717033297987655,0.10170349999680184,0.10381991698523052,0.10170349999680184,0.10717033297987655
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_shared_spectrum,0.0031529589905403554,0.002999834017828107,0.0032035420008469373,0.0031529589905403554,0.002999834017828107,0.0032035420008469373
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_shared_other,4.879003972746432e-05,7.283297600224614e-05,5.579099524766207e-05,5.579099524766207e-05,4.879003972746432e-05,7.283297600224614e-05
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_method_initial,0.006653333985013887,0.006247458979487419,0.006188458006363362,0.006247458979487419,0.006188458006363362,0.006653333985013887
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_initial_eig,0.0034795420069713145,0.0034991659922525287,0.0032917920034378767,0.0034795420069713145,0.0032917920034378767,0.0034991659922525287
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_outer,0.06603133300086483,0.06527941598324105,0.06788395901094191,0.06603133300086483,0.06527941598324105,0.06788395901094191
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_metric_setup,0.003170583979226649,0.002744708996033296,0.002894582983572036,0.002894582983572036,0.002744708996033296,0.003170583979226649
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_metric_apply,0.0004023708461318165,0.0004152479814365506,0.0003991698904428631,0.0004023708461318165,0.0003991698904428631,0.0004152479814365506
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_metric_solve,0.004197243688395247,0.004446494858711958,0.004109036235604435,0.004197243688395247,0.004109036235604435,0.004446494858711958
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_frame,0.05679612801759504,0.05611204306478612,0.05843678707606159,0.05679612801759504,0.05611204306478612,0.05843678707606159
p_hisd_shifted_cholesky,shifted Cholesky,converged,True,25,6.020542508920599e-07,1,T_cert_Hessian,0.1044577079883311,0.1039809170179069,0.10830045799957588,0.1044577079883311,0.1039809170179069,0.10830045799957588
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_total,0.21157150002545677,0.21406145798391663,0.21207820798736066,0.21207820798736066,0.21157150002545677,0.21406145798391663
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_setup_update,0.0031020000169519335,0.0026841250073630363,0.002975041017634794,0.002975041017634794,0.0026841250073630363,0.0031020000169519335
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_apply_solve,0.006500705145299435,0.006635836965870112,0.0063976267410907894,0.006500705145299435,0.0063976267410907894,0.006635836965870112
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_eig,0.1947450460284017,0.1976080420135986,0.1949252950726077,0.1949252950726077,0.1947450460284017,0.1976080420135986
p_hisd_frozen_spectral,Spectral,converged,True,37,7.444263607504944e-07,1,T_cert,0.10539229100686498,0.10449695799616165,0.10778408299665898,0.10539229100686498,0.10449695799616165,0.10778408299665898
